cpu_percent,memory_percent,disk_percent,load_1m,label
19.26,41.49,11.18,1.32,0
97.46,89.86,97.56,8.46,1
11.61,42.68,17.71,0.11,0
31.29,34.44,15.87,0.65,0
33.18,28.46,19.64,0.35,0
7.73,26.41,9.32,0.98,0
31.43,51.38,12.43,0.32,0
33.21,45.32,18.83,0.96,0
11.13,46.49,10.86,0.65,0
24.07,35.94,12.44,0.39,0
5.05,52.77,14.46,1.11,0
21.51,26.52,19.99,1.27,0
22.85,45.26,10.82,0.27,0
91.22,91.34,87.72,8.18,1
26.86,34.41,15.27,0.82,0
30.42,43.11,17.69,1.12,0
95.6,81.16,90.71,7.26,1
24.24,36.99,19.77,0.85,0
92.12,84.67,88.46,7.83,1
24.18,25.75,11.3,0.41,0
30.01,46.11,15.34,1.48,0
28.76,37.66,8.76,0.63,0
86.16,85.14,88.8,5.92,1
13.0,44.23,9.34,0.71,0
26.14,26.37,10.73,0.51,0
19.66,52.16,18.15,0.23,0
92.42,84.39,94.18,4.03,1
26.53,31.11,15.61,0.47,0
33.72,35.1,9.11,0.24,0
91.06,82.97,91.54,4.77,1
16.37,54.56,11.18,1.2,0
8.21,41.6,11.27,0.95,0
29.07,50.92,17.73,0.47,0
27.26,45.12,12.37,0.2,0
94.49,86.03,96.46,8.51,1
34.88,40.87,19.65,1.31,0
17.69,31.35,14.47,1.12,0
91.63,83.85,91.62,9.41,1
11.43,28.97,19.23,0.9,0
20.02,30.36,18.95,1.32,0
11.67,49.5,13.52,0.53,0
93.1,82.49,88.24,8.16,1
12.49,28.08,17.36,1.34,0
94.33,80.49,90.52,7.39,1
19.57,31.41,12.81,0.18,0
11.03,34.35,19.94,1.01,0
6.71,42.53,14.03,1.29,0
91.24,83.72,90.88,9.43,1
96.49,89.38,93.77,5.65,1
7.08,47.82,17.19,0.28,0
88.67,88.55,96.9,4.44,1
85.75,86.82,87.96,5.96,1
30.79,27.13,10.86,1.04,0
31.34,53.41,9.03,0.78,0
7.18,38.75,19.98,1.49,0
7.39,31.98,9.21,0.49,0
87.64,97.24,92.25,4.3,1
98.37,91.03,95.07,7.03,1
26.87,45.2,19.81,0.24,0
13.95,44.17,15.31,0.31,0
24.62,25.23,17.81,0.52,0
96.42,86.82,95.53,8.99,1
7.13,43.93,10.75,1.37,0
17.08,35.18,18.34,0.45,0
34.06,42.38,14.51,1.15,0
5.74,47.1,11.99,1.4,0
25.15,34.0,11.79,1.15,0
18.65,37.69,19.49,1.49,0
27.09,45.3,18.71,0.22,0
19.18,48.54,17.69,0.37,0
7.2,31.39,11.18,1.41,0
21.09,54.19,12.54,0.87,0
95.09,84.04,87.79,4.15,1
21.67,46.55,9.86,0.52,0
24.9,53.17,9.61,0.26,0
7.91,37.93,13.08,0.75,0
91.54,80.52,89.71,8.07,1
88.74,95.27,91.39,8.81,1
34.69,44.2,14.68,1.06,0
9.44,28.82,11.7,1.36,0
18.14,40.53,9.45,0.41,0
24.93,34.91,11.77,1.29,0
90.71,80.11,89.92,8.52,1
30.94,54.29,17.73,1.33,0
32.12,41.37,18.02,0.92,0
29.88,43.56,18.34,0.91,0
93.76,92.52,96.99,8.59,1
34.07,52.79,18.18,0.33,0
12.49,52.7,13.32,1.31,0
14.85,50.93,19.6,0.49,0
24.11,32.86,16.89,0.87,0
85.41,91.57,86.9,6.77,1
97.8,97.16,90.87,8.49,1
17.83,25.29,8.9,1.34,0
13.01,53.1,15.78,0.95,0
15.14,42.65,10.76,0.41,0
21.84,32.88,15.02,1.36,0
95.01,97.78,93.34,9.7,1
16.56,42.3,11.06,1.09,0
26.59,34.01,11.71,0.67,0
96.94,83.05,86.19,7.09,1
28.88,50.82,18.79,0.39,0
16.98,31.58,19.97,0.81,0
10.71,38.46,13.06,0.49,0
14.03,41.44,8.0,0.5,0
31.36,49.95,11.69,0.18,0
88.78,81.47,85.27,7.24,1
31.71,32.39,15.13,0.97,0
18.61,53.61,18.51,0.47,0
17.71,33.3,8.04,1.18,0
10.13,46.87,9.96,0.63,0
28.86,31.83,8.28,0.37,0
17.58,42.51,14.27,1.41,0
30.29,48.28,10.75,0.14,0
27.88,41.18,17.34,0.84,0
32.44,38.77,11.18,0.45,0
17.19,43.62,9.85,1.4,0
17.66,25.89,10.62,0.81,0
96.26,93.86,86.49,6.55,1
5.34,46.62,16.18,0.85,0
5.02,34.72,8.23,1.4,0
5.8,30.97,15.8,0.86,0
17.07,33.87,9.53,0.69,0
29.17,45.94,12.08,0.32,0
28.62,28.24,18.47,1.3,0
93.19,90.86,88.09,5.32,1
17.9,42.4,15.86,0.75,0
14.46,33.03,10.53,1.42,0
9.72,53.82,8.96,0.36,0
33.88,32.96,9.3,0.71,0
